datum,PG1,PG2,PG3,LG1,LG2,LG3,TT,TP
01.08.2020_20:45,45,45,47,70,73,63,35,35
01.08.2020_20:55,45,45,47,70,73,63,35,35
01.08.2020_21:05,45,45,47,70,73,63,35,35
01.08.2020_21:15,45,45,46,69,74,64,35,35
01.08.2020_21:25,44,45,46,69,73,63,35,35
01.08.2020_21:35,44,45,46,70,74,71,35,35
01.08.2020_21:45,44,44,46,69,72,63,35,35
01.08.2020_21:55,44,44,46,69,72,63,35,35
01.08.2020_22:05,44,44,46,69,73,62,35,35
01.08.2020_22:15,44,44,46,69,72,63,35,35
01.08.2020_22:25,44,44,45,68,72,62,35,35
01.08.2020_22:35,44,44,45,69,72,60,35,35
01.08.2020_22:45,44,44,45,68,72,62,35,35
01.08.2020_22:55,44,44,45,68,72,61,35,35
01.08.2020_23:05,44,43,45,68,71,63,35,35
01.08.2020_23:15,44,43,45,68,71,62,35,35
01.08.2020_23:25,44,43,45,68,71,61,35,35
01.08.2020_23:35,44,43,45,68,71,61,35,34
01.08.2020_23:45,44,43,45,67,71,64,35,35
01.08.2020_23:55,43,43,44,67,71,61,34,34
02.08.2020_00:05,43,43,44,67,70,61,34,34
02.08.2020_00:15,43,43,44,68,71,62,34,34
02.08.2020_00:25,43,43,44,67,71,61,34,34
02.08.2020_00:35,43,42,44,67,70,60,34,34
02.08.2020_00:45,43,42,44,67,70,61,34,34
02.08.2020_00:55,43,42,44,67,70,60,34,34
02.08.2020_01:05,43,42,43,67,70,60,34,34
02.08.2020_01:15,43,42,43,66,69,60,34,34
02.08.2020_01:25,43,42,43,66,70,59,34,34
02.08.2020_01:35,43,42,43,66,69,60,34,34
02.08.2020_01:45,43,42,43,66,69,60,34,34
02.08.2020_01:55,43,42,43,66,69,59,34,34
02.08.2020_02:05,43,42,43,66,69,60,34,34
02.08.2020_02:15,42,41,43,66,69,59,34,34
02.08.2020_02:25,42,41,43,66,69,59,34,34
02.08.2020_02:35,43,41,43,65,68,59,34,34
02.08.2020_02:45,42,41,43,65,68,59,34,34
02.08.2020_02:55,42,41,42,66,69,59,34,33
02.08.2020_03:05,42,41,42,65,68,59,33,33
02.08.2020_03:15,42,41,42,65,68,58,33,33
02.08.2020_03:25,42,41,42,65,68,59,33,33
02.08.2020_03:35,42,41,42,65,68,58,33,33
02.08.2020_03:45,42,41,42,65,68,58,33,33
02.08.2020_03:55,42,41,42,64,67,58,33,33
02.08.2020_04:05,42,41,42,65,67,59,33,33
02.08.2020_04:15,42,40,42,64,67,58,33,33
02.08.2020_04:25,42,40,42,64,67,58,33,33
02.08.2020_04:35,42,40,42,64,67,57,33,33
02.08.2020_04:45,42,40,41,64,66,58,33,33
02.08.2020_04:55,41,40,41,64,67,58,33,33
02.08.2020_05:05,41,40,41,64,66,58,33,33
02.08.2020_05:15,41,40,41,64,67,57,33,33
02.08.2020_05:25,41,40,41,64,67,57,33,33
02.08.2020_05:35,41,40,41,64,66,58,33,33
02.08.2020_05:45,41,40,41,63,66,57,33,32
02.08.2020_05:55,41,40,41,63,66,57,33,32
02.08.2020_06:05,41,40,41,63,66,57,33,32
02.08.2020_06:15,41,40,41,63,66,58,32,32
02.08.2020_06:25,41,39,41,63,66,57,32,32
02.08.2020_06:35,41,39,40,63,66,56,32,32
02.08.2020_06:45,41,39,40,63,65,57,32,32
02.08.2020_06:55,41,39,40,63,65,56,32,32
02.08.2020_07:05,41,39,40,62,63,56,32,32
02.08.2020_07:15,41,39,40,63,65,56,32,32
02.08.2020_07:25,41,39,40,62,65,56,32,32
02.08.2020_07:35,41,39,40,62,65,56,32,32
02.08.2020_07:45,40,39,40,62,65,56,32,32
02.08.2020_07:55,40,39,40,62,65,56,32,32
02.08.2020_08:05,41,39,40,62,65,56,32,32
02.08.2020_08:15,40,39,40,62,65,56,32,32
02.08.2020_08:25,40,39,40,62,65,55,32,32
02.08.2020_08:35,40,39,40,62,64,55,32,32
02.08.2020_08:45,40,39,40,61,64,50,32,32
02.08.2020_08:55,40,38,40,61,64,55,32,32
02.08.2020_09:05,40,38,39,61,64,55,32,32
02.08.2020_09:15,40,38,39,62,64,55,32,32
02.08.2020_09:25,40,38,39,61,64,55,32,32
02.08.2020_09:35,40,38,39,61,64,55,32,32
02.08.2020_09:45,40,38,39,61,64,55,32,32
02.08.2020_09:55,40,38,39,61,64,55,32,32
02.08.2020_10:05,40,38,39,61,64,55,32,32
02.08.2020_10:15,40,38,39,61,63,55,32,32
02.08.2020_10:25,40,38,39,61,64,54,32,32
02.08.2020_10:35,40,38,39,61,64,55,32,32
02.08.2020_10:45,40,38,39,61,63,54,32,32
02.08.2020_10:55,40,38,39,61,64,54,32,32
02.08.2020_11:05,40,38,39,60,63,53,32,33
02.08.2020_11:15,40,38,39,61,63,54,32,33
02.08.2020_11:25,39,38,39,61,63,54,32,33
02.08.2020_11:35,39,39,39,61,63,55,32,33
02.08.2020_11:45,40,39,39,60,63,54,32,33
02.08.2020_11:55,40,39,39,61,63,55,32,33
02.08.2020_12:05,40,39,39,60,63,54,32,33
02.08.2020_12:15,40,40,39,61,63,54,33,33
02.08.2020_12:25,40,40,39,60,63,53,33,33
02.08.2020_12:35,40,40,40,60,63,54,33,33
02.08.2020_12:45,41,41,40,60,63,54,33,33
02.08.2020_12:55,41,41,40,60,63,54,33,33
02.08.2020_13:05,41,41,40,60,63,54,33,33
02.08.2020_13:15,41,42,40,60,63,54,33,33
02.08.2020_13:25,41,42,40,60,63,54,33,33
02.08.2020_13:35,41,42,41,60,62,54,33,33
02.08.2020_13:45,42,42,41,60,62,53,33,33
02.08.2020_13:55,42,43,41,60,62,54,33,34
02.08.2020_14:05,42,43,41,60,62,54,33,33
02.08.2020_14:15,42,43,41,60,62,53,33,34
02.08.2020_14:25,42,43,41,60,62,53,33,34
02.08.2020_14:35,42,43,42,60,62,55,33,34
02.08.2020_14:45,42,44,42,60,62,53,33,34
